rho,ne,nD,nT,nHe
0.0,1.369667786898692,0.5599759545549114,0.5599759545549114,0.08982336228278717
0.005,1.3696552381393565,0.5599738333939263,0.5599738333939263,0.08981933590172896
0.01,1.3696176830158222,0.5599675095034485,0.5599675095034485,0.089807260219009
0.015,1.3695551092704945,0.5599569801457355,0.5599569801457355,0.0897871320197039
0.02,1.3694674559955489,0.5599422222639168,0.5599422222639168,0.08975894568820655
0.025,1.3693547636354133,0.5599232524500224,0.5599232524500224,0.0897227037338529
0.03,1.3692169739889744,0.5599000461234265,0.5599000461234265,0.08967840350383662
0.035,1.3690541302114965,0.55987261883242,0.55987261883242,0.08962605016926822
0.04,1.3688662268162617,0.5598409650111975,0.5598409650111975,0.08956564717985006
0.045,1.368653259675924,0.559805078063242,0.559805078063242,0.08949719985604357
0.05,1.3684152260235798,0.5597649503341977,0.5597649503341977,0.0894207150626343
0.055,1.3681521744535556,0.559720594342162,0.559720594342162,0.08933620424224112
0.06,1.3678640549219072,0.5596719798678618,0.5596719798678618,0.08924367494747283
0.065,1.3675508687466364,0.5596190961716928,0.5596190961716928,0.08914313958858137
0.07,1.367212718607621,0.5595619716130282,0.5595619716130282,0.08903461972383302
0.075,1.3668495585462583,0.5595005724753911,0.5595005724753911,0.08891812880034494
0.08,1.366461443964824,0.5594349033699347,0.5594349033699347,0.08879369000689664
0.085,1.366048331625545,0.5593649262578871,0.5593649262578871,0.08866132278348629
0.09,1.365610279649387,0.5592906422460323,0.5592906422460323,0.08852105543148245
0.095,1.3651473475145572,0.5592120506900125,0.5592120506900125,0.08837291906940026
0.1,1.3646594960547214,0.5591291059875938,0.5591291059875938,0.08821694307554018
0.105,1.3641468374569379,0.5590418225774959,0.5590418225774959,0.08805316881290576
0.11,1.363609335259308,0.5589501506501515,0.5589501506501515,0.08788163169029668
0.115,1.3630470543483428,0.5588540771781902,0.5588540771781902,0.08770237856065288
0.12,1.3624600109560505,0.5587535665208866,0.5587535665208866,0.08751545608720687
0.125,1.3618482726567376,0.5586485989179184,0.5586485989179184,0.08732091971331742
0.13,1.3612118583635386,0.5585391311389476,0.5585391311389476,0.08711882547963094
0.135,1.3605507883246581,0.558425114994163,0.558425114994163,0.08690923541926461
0.14,1.359865184119342,0.55830654020818,0.55830654020818,0.08669222173139456
0.145,1.3591550186535695,0.5581833292738538,0.5581833292738538,0.08646785407634938
0.15,1.3584204161554712,0.5580554616792214,0.5580554616792214,0.08623621674119963
0.155,1.3576613521704743,0.5579228509530053,0.5579228509530053,0.08599739012570885
0.16,1.356877903556178,0.5577854451082997,0.5577854451082997,0.08575146830909855
0.165,1.3560701484769555,0.5576431879101084,0.5576431879101084,0.08549855071677794
0.17,1.3552381163982936,0.5574959957142251,0.5574959957142251,0.08523874135925952
0.175,1.3543819380808615,0.5573438202240699,0.5573438202240699,0.08497215714585903
0.18,1.3535015455743202,0.5571865251609531,0.5571865251609531,0.08469890944603028
0.185,1.3525971722108676,0.5570240900831385,0.5570240900831385,0.08441913659097547
0.19,1.3516687525985254,0.5568563651918156,0.5568563651918156,0.08413296518960053
0.195,1.3507163726141702,0.5566832547043731,0.5566832547043731,0.0838405399280203
0.2,1.3497427998318865,0.5565054790739434,0.5565054790739434,0.08354247852299947
0.205,1.3487585747439121,0.5563261227618408,0.5563261227618408,0.08324077191478561
0.21,1.347784771459855,0.5561520407277444,0.5561520407277444,0.08293867496903971
0.215,1.3468372661721122,0.5559886658224061,0.5559886658224061,0.08263835570288572
0.22,1.3459188847564605,0.5558369205374784,0.5558369205374784,0.08234024574402218
0.225,1.3450301027730522,0.5556969148375094,0.5556969148375094,0.08204446462303248
0.23,1.344170845467294,0.555568561122065,0.555568561122065,0.08175106627038634
0.235,1.3433410377705988,0.5554517758960695,0.5554517758960695,0.08146010018046024
0.24,1.3425406043010175,0.5553464755862743,0.5553464755862743,0.08117161571104728
0.245,1.3417694693637519,0.5552525766820621,0.5552525766820621,0.08088566200059456
0.25,1.3410275569515455,0.5551699941846076,0.5551699941846076,0.08060228934048003
0.255,1.3403148407449579,0.5550986637646851,0.5550986637646851,0.08032155110296615
0.26,1.339631144112521,0.5550384582611827,0.5550384582611827,0.08004349201157737
0.265,1.3389763901107785,0.5549892916301535,0.5549892916301535,0.07976816309497187
0.27,1.338350401484209,0.55495103696915,0.55495103696915,0.07949560842985451
0.275,1.337752100665038,0.5549231964431393,0.5549231964431393,0.0792258159976642
0.28,1.3371748097729317,0.554902967818522,0.554902967818522,0.07895842222737082
0.285,1.3365801830416086,0.5548745128074706,0.5548745128074706,0.07869108089056452
0.29,1.3358587286710357,0.5547926793579148,0.5547926793579148,0.07841702155441031
0.295,1.3349208011287768,0.5546203629576029,0.5546203629576029,0.078130843730898
0.3,1.3337518256349703,0.5543512928866501,0.5543512928866501,0.07783191660138335
0.305,1.3323502810455314,0.5539845759649253,0.5539845759649253,0.07752042177194082
0.31,1.3307169992308199,0.553520294317749,0.553520294317749,0.07719668026581201
0.315,1.3288531144267037,0.5529586588988594,0.5529586588988594,0.07686102626653855
0.32,1.3267600625587819,0.5523000110792409,0.5523000110792409,0.07651380517693458
0.325,1.324439230540543,0.5515446799797273,0.5515446799797273,0.07615534990391505
0.33,1.3218922555462336,0.5506931032950186,0.5506931032950186,0.07578600168772785
0.335,1.3191207742592101,0.5497457252833016,0.5497457252833016,0.07540609319846095
